num,prov,poly_num,X,Y,Path
59028,BC,1,3663765.03428571,2719135.59428571,1800
59028,BC,1,3682940.77142857,2762891.68285714,1801
59028,BC,1,3697341.38,2793558.77714286,1802
59028,BC,1,3701931.7,2800683.81142857,1803
59028,BC,1,3758171.49142857,2874583.06571429,1804
59028,BC,1,3896657.06285714,2782100.89428571,1805
59028,BC,1,3898015.89428571,2785093.35428571,1806
59028,BC,1,3897934.17428571,2788600.16285714,1807
59028,BC,1,3900694.2,2789060.99714286,1808
59028,BC,1,3904425.88571429,2787845.52285714,1809
59028,BC,1,3911531.60285714,2788702.64285714,1810
59028,BC,1,3929971.94,2793272.23142857,1811
59028,BC,1,3939238.72285714,2797506.27714286,1812
59028,BC,1,3953076.28285714,2807118.41142857,1813
59028,BC,1,3965634.23428571,2810984.28857143,1814
59028,BC,1,3966471.42857143,2813594.37428571,1815
59028,BC,1,3966274.44285714,2817632.61714286,1816
59028,BC,1,3972479.54571429,2828097.57428571,1817
59028,BC,1,3972987.95142857,2834397.92857143,1818
59028,BC,1,3971834.38571429,2835189.64857143,1819
59028,BC,1,3973577.23428571,2840804.52857143,1820
59028,BC,1,3975600.9,2844599.27714286,1821
59028,BC,1,3979124.75714286,2847202.06571429,1822
59028,BC,1,3981820.91428571,2850881.38857143,1823
59028,BC,1,3981423.49142857,2855690.70285714,1824
59028,BC,1,3983819.37142857,2857890.16857143,1825
59028,BC,1,3983937.60571429,2859553.68571429,1826
59028,BC,1,3985101.49142857,2859153.94857143,1827
59028,BC,1,3989912.94,2862668.87428571,1828
59028,BC,1,3992424.52571429,2862274.89714286,1829
59028,BC,1,4002724.10857143,2868419.56571429,1830
59028,BC,1,4001740.12857143,2868897.5,1831
59028,BC,1,4008599.89142857,2876952.1,1832
59028,BC,1,4010595.96857143,2890826.25142857,1833
59028,BC,1,4002077.49142857,2893215.92285714,1834
59028,BC,1,3995808.12,2903252.54,1835
59028,BC,1,3999913.15428571,2914007.17428571,1836
59028,BC,1,3995544.58,2918182.91714286,1837
59028,BC,1,3993409.46285714,2922528.44,1838
59028,BC,1,3992111.74,2936269.09714286,1839
59028,BC,1,3979407.08571429,2950325.44,1840
59028,BC,1,3978200.09714286,2956647.28571429,1841
59028,BC,1,3969909.47428571,2976453.76,1842
59028,BC,1,3968227.60571429,2985882.11428571,1843
59028,BC,1,3955110.16857143,2993546.83714286,1844
59028,BC,1,3960545.74857143,3003454.28,1845
59028,BC,1,3961766.16285714,3009643.52285714,1846
59028,BC,1,3966589.70571429,3013115.89428571,1847
59028,BC,1,3958424.55142857,3027252.36285714,1848
59028,BC,1,3973418.21714286,3040153.88857143,1849
59028,BC,1,3961039.72571429,3055656.05714286,1850
59028,BC,1,3974754.86,3061830.77428571,1851
59028,BC,1,3977834.95428571,3078393.54285714,1852
59028,BC,1,3978764.79428571,3098733.78571429,1853
59028,BC,1,3982658.49714286,3123040.37428571,1854
59028,BC,1,3986552.2,3138731.41714286,1855
59028,BC,1,3987423.94,3159219.87142857,1856
59028,BC,1,3992650.61714286,3175909.20285714,1857
59028,BC,1,3993036.68571429,3193591.32857143,1858
59028,BC,1,3995198.69714286,3206486.15428571,1859
59028,BC,1,4001607.5,3207412.72571429,1860
59028,BC,1,3998982.20571429,3233588.45428571,1861
59028,BC,1,4000680.92,3248876.92857143,1862
59028,BC,1,3996434.12285714,3258219.88857143,1863
59028,BC,1,3990874.67428571,3274280.50857143,1864
59028,BC,1,3991415.17714286,3282310.82,1865
59028,BC,1,3995275.90285714,3284936.11142857,1866
59028,BC,1,3992231.15714286,3289694.31714286,1867
59028,BC,1,3997437.90571429,3294279.07142857,1868
59028,BC,1,3997860.57428571,3300174.54571429,1869
59028,BC,1,3999275.10857143,3305541.44857143,1870
59028,BC,1,3995572.36,3308495.32571429,1871
59028,BC,1,3994865.09714286,3317273.74285714,1872
59028,BC,1,3997694.16,3322723.85142857,1873
59028,BC,1,3988666.11714286,3334497.75142857,1874
59028,BC,1,3990163.85714286,3342652.11142857,1875
59028,BC,1,3994615.47428571,3344565.89142857,1876
59028,BC,1,3992621.61428571,3351622.13428571,1877
59028,BC,1,3998962.4,3353369.18285714,1878
59028,BC,1,4004933.23428571,3360749.8,1879
59028,BC,1,4005141.25428571,3368862.55714286,1880
59028,BC,1,4003777.60285714,3370397.25714286,1881
59028,BC,1,4003477.1,3375893.61142857,1882
59028,BC,1,4005099.65142857,3379013.90285714,1883
59028,BC,1,4002270.58571429,3387875.52857143,1884
59028,BC,1,4001771.34285714,3396071.49428571,1885
59028,BC,1,3972773.43714286,3401022.36,1886
59028,BC,1,3960541.9,3407720.58285714,1887
59028,BC,1,3951139.42285714,3410216.81714286,1888
59028,BC,1,3953053.20285714,3402728.11714286,1889
59028,BC,1,3951014.61142857,3399857.44857143,1890
59028,BC,1,3944025.16,3397111.59428571,1891
59028,BC,1,3942069.77714286,3397361.21714286,1892
59028,BC,1,3938658.26,3398983.76857143,1893
59028,BC,1,3936536.46285714,3403185.76285714,1894
59028,BC,1,3924346.52571429,3388000.34571429,1895
59028,BC,1,3922515.95714286,3388208.36285714,1896
59028,BC,1,3921588.04857143,3386563.43428571,1897
59028,BC,1,3911158.09714286,3382259.01142857,1898
59028,BC,1,3900465.9,3390538.18285714,1899
59028,BC,1,3881619.34285714,3391952.71428571,1900
59028,BC,1,3869512.61428571,3394240.92857143,1901
59028,BC,1,3856365.79142857,3392618.37714286,1902
59028,BC,1,3852829.46285714,3395405.83714286,1903
59028,BC,1,3859444.48,3400647.92571429,1904
59028,BC,1,3873506.59428571,3425443.84,1905
59028,BC,1,3869429.41714286,3504033.57142857,1906
59028,BC,1,3870386.30571429,3509234.05714286,1907
59028,BC,1,3876169.24285714,3519635.02857143,1908
59028,BC,1,3873964.24,3524086.64285714,1909
59028,BC,1,3868888.56571429,3538772.81142857,1910
59028,BC,1,3869105.70285714,3539818.34285714,1911
59028,BC,1,3921657.22857143,3492631.23428571,1912
59028,BC,1,3983376.63428571,3439627.21714286,1913
59028,BC,1,4046328.73428571,3388093.30857143,1914
59028,BC,1,4099705.22571429,3346292.08857143,1915
59028,BC,1,4164825.86571429,3297527.21142857,1916
59028,BC,1,4231078.29428571,3250311.46857143,1917
59028,BC,1,4298425.67142857,3204671.11714286,1918
59028,BC,1,4356505.16,3167136.48285714,1919
59028,BC,1,4350302.36857143,3157692.30857143,1920
59028,BC,1,4352508.26,3155980.61142857,1921
59028,BC,1,4352766.80571429,3154142.33428571,1922
59028,BC,1,4351813.22,3152710.76,1923
59028,BC,1,4350272.09142857,3151937.50857143,1924
